Davidson College, Private, NC, Considering a range of scenarios, considering a range of scenarios, https://www.davidson.edu/alert/covid-19
DePaul University, Private, IL, Waiting to decide, expects to make an announcement as early as June 15, https://resources.depaul.edu/newsline/sections/campus-and-community/Pages/COVID-19-update-May-6.aspx
DePauw University, Private, IN, Planning for in-person, planning for in-person  but relaxing residential requirements, https://www.depauw.edu/preparedness/depauws-fall-planning-and-new-leadership-course-may-8/
Dominican University , Private, IL, Planning for in-person, fully expects to be open for face-to-face classes in the fall, https://www.dom.edu/covid-19-alert/home/current-students
Dominican University of California, Private, CA, Planning for in-person, planning to have fall semester on-campus with primarily in-person classes, https://www.dominican.edu/covid19
Dordt University, Private, IA, Planning for in-person, planning for in-person ‘, https://www.dordt.edu/news/52732
Drake University, Private, IA, Planning for in-person, planning on-campus classes, https://www.drake.edu/coronavirus/faq/admission/
Drew University, Private, NJ, Considering a range of scenarios, considering a range of scenarios, http://www.drew.edu/1/emergency-information/coronavirus-disease-2019-covid-19/#faq-fall
Drexel University, Private, PA, Waiting to decide, hopes to receive task-force recommendations on fall semester by early June, https://drexel.edu/now/archive/2020/April/Task-Force-Fall-Term/
Drury University, Private, MO, Planning for in-person, planning to reopen in the fall, https://www.drury.edu/mc/contact-marketing-and-communications
Duke University, Private, NC, Considering a range of scenarios, “We hope  to have some clarity by the middle of June., https://today.duke.edu/2020/04/coordinated-pandemic-response-duke-and-durham
Duquesne University, Private, PA, Planning for in-person, intends to return to campus in fall, https://covid19.duq.edu/news-and-updates/update-on-duquesne-university-planning-for-fall-semester-2020
Earlham College, Private, IN, Waiting to decide, expects a decision on fall plans by June 15, https://earlham.edu/coronavirus/
East Carolina Universty, Public, NC, Planning for in-person, We intend to be back on ECU’s campus in the fall  although we will do so while taking the necessary precautions., https://news.ecu.edu/2020/04/27/looking-forward-fall-2020/
East Tennessee State University, Public, TN, Waiting to decide, hopes to make a decision by early June, https://www.columbiadailyherald.com/news/20200426/what-will-college-in-tennessee-look-like-in-fall
